CustomerID,CompanyName,LastName,FirstName,ContactTitle,Address,City,Region,PostalCode,Country,Phone,Fax
AAAA,Alfreds Futterkiste,Aguilar Aurora,Adrian Alejandro,Sales Representative,Obere Str. 57,Berlin,,12209,Germany,030-0074321,030-0076545
ARJI,Ana Trujillo Emparedados y helados,Alcantara Rementeria,Jhasmin Isabel,Owner,Avda. de la Constitución 2222,México D.F.,,5021,Mexico,(5) 555-4729,(5) 555-3745
ACMN,Antonio Moreno Taquería,Alvino Campos,Mayori Naysha,Owner,Mataderos  2312,México D.F.,,5023,Mexico,(5) 555-3932,
AFEA,Around the Horn,Anaya Flores,Erick Adonis,Sales Representative,120 Hanover Sq.,London,,WA1 1DP,UK,(171) 555-7788,(171) 555-6750
AGJG,Berglunds snabbköp,Arotinco Gomez,Jenny Gladis,Order Administrator,Berguvsvägen  8,Luleå,,S-958 22,Sweden,0921-12 34 65,0921-12 34 67
AVJJ,Blauer See Delikatessen,Atencio Velasquez,Joan Juniors,Sales Representative,Forsterstr. 57,Mannheim,,68306,Germany,0621-08460,0621-08924
BSF,Blondesddsl père et fils,Bardales Sánchez,Fernando,Marketing Manager,24 place Kléber,Strasbourg,,67000,France,88.60.15.31,88.60.15.32
BBM,Bólido Comidas preparadas,Bartolo Bonifacio,Maribel,Owner,C/ Araquil 67,Madrid,,28023,Spain,(91) 555 22 82,(91) 555 91 99
BME,Bon app',Beteta Montoya,Eunice,Owner,12 rue des Bouchers,Marseille,,13008,France,91.24.45.40,91.24.45.41
BEGR,Bottom-Dollar Markets,Bravo Espinoza,Gerson Ronald,Accounting Manager,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada,(604) 555-4729,(604) 555-3745
CFAG,B's Beverages,Cabrera Flores,Adrian Gabriel,Sales Representative,Fauntleroy Circus,London,,EC2 5NT,UK,(171) 555-1212,
CCJC,Cactus Comidas para llevar,Cerdan Cerna,Jhon Carlos,Sales Agent,Cerrito 333,Buenos Aires,,1010,Argentina,(1) 135-5555,(1) 135-4892
CCGL,Centro comercial Moctezuma,Cerda Cerna,Guadalupe Lily,Marketing Manager,Sierras de Granada 9993,México D.F.,,5022,Mexico,(5) 555-3392,(5) 555-7293
CCJJ,Chop-suey Chinese,Ccallo Coarite,Juan Jose,Owner,Hauptstr. 29,Bern,,3012,Switzerland,0452-076545,
CAJJ,Comércio Mineiro,Chayña Apaza,Jhonatan Jesús,Sales Associate,Av. dos Lusíadas 23,Sao Paulo,SP,05432-043,Brazil,(11) 555-7647,
CFKE,Consolidated Holdings,Choque Fernandez,Kevin Eduardo,Sales Representative,Berkeley Gardens 12  Brewery,London,,WX1 6LT,UK,(171) 555-2282,(171) 555-9199
CFKE,Drachenblut Delikatessen,Choque Fernandez,Kevin Eduardo,Order Administrator,Walserweg 21,Aachen,,52066,Germany,0241-039123,0241-059428
CMJA,Du monde entier,Chumpitaz Morales,Josue Aaron,Owner,67 rue des Cinquante Otages,Nantes,,44000,France,40.67.88.88,40.67.89.89
CEJC,Eastern Connection,Cigüeñas Escalante,José Carlos,Sales Agent,35 King George,London,,WX3 6FW,UK,(171) 555-0297,(171) 555-3373
CSSR,Ernst Handel,Concepcion Sudario,Stiben Roy,Sales Manager,Kirchgasse 6,Graz,,8010,Austria,7675-3425,7675-3426
CBW,Familia Arquibaldo,Cordova Ballesteros,William,Marketing Assistant,Rua Orós 92,Sao Paulo,SP,05442-030,Brazil,(11) 555-9857,
CCBJ,FISSA Fabrica Inter. Salchichas S.A.,Cordova Castro,Billy Jhon,Accounting Manager,C/ Moralzarzal 86,Madrid,,28034,Spain,(91) 555 94 44,(91) 555 55 93
CAPJ,Folies gourmandes,Cosser Aquino,Percy Jhandy,Assistant Sales Agent,184 chaussée de Tournai,Lille,,59000,France,20.16.10.16,20.16.10.17
CJLA,Folk och fä HB,Cotrina Julca,Luis Arturo,Owner,Åkergatan 24,Bräcke,,S-844 67,Sweden,0695-34 67 21,
CPRJ,Frankenversand,Crisostomo Parejas,Rocio Julia,Marketing Manager,Berliner Platz 43,München,,80805,Germany,089-0877310,089-0877451
CAEK,France restauration,Cruz Ayte,Esthiven Kim,Marketing Manager,54 rue Royale,Nantes,,44000,France,40.32.21.21,40.32.21.20
CA,Franchi S.p.A.,Cruz Ayte,,Sales Representative,Via Monte Bianco 34,Torino,,10100,Italy,011-4988260,011-4988261
CCAD,Furia Bacalhau e Frutos do Mar,Cruz Condori,Angel David,Sales Manager,Jardim das rosas n. 32,Lisboa,,1675,Portugal,(1) 354-2534,(1) 354-2535
CVR,Galería del gastrónomo,Cruz Victorio,Rolando,Marketing Manager,Rambla de Cataluña 23,Barcelona,,8022,Spain,(93) 203 4560,(93) 203 4561
DZMd,Godos Cocina Típica,Díaz Zarate,María de los Ángeles,Sales Manager,C/ Romero 33,Sevilla,,41101,Spain,(95) 555 82 82,
DPK,Gourmet Lanchonetes,Del Pino Caman,Kevin,Sales Associate,Av. Brasil 442,Campinas,SP,04876-786,Brazil,(11) 555-9482,
EJCS,Great Lakes Food Market,ELMER JOEL,CUEVA SILVA,Marketing Manager,2732 Baker Blvd.,Eugene,OR,97403,USA,(503) 555-7555,
EMGC,GROSELLA-Restaurante,Espejo Marcatinco,Gian Carlos,Owner,5ª Ave. Los Palos Grandes,Caracas,DF,1081,Venezuela,(2) 283-2951,(2) 283-3397
EME,Hanari Carnes,Espejo Marcatinco,Estefani,Accounting Manager,Rua do Paço 67,Rio de Janeiro,RJ,05454-876,Brazil,(21) 555-0091,(21) 555-8765
ELD,HILARION-Abastos,Espinoza Loa,Deisy,Sales Representative,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela,(5) 555-1340,(5) 555-1948
FCJF,Hungry Coyote Import Store,Falconi Contreras,Jorge Fernando,Sales Representative,City Center Plaza 516 Main St.,Elgin,OR,97827,USA,(503) 555-6874,(503) 555-2376
FAEJ,Hungry Owl All-Night Grocers,Fernandez Altamirano,Edgardo Joaquin,Sales Associate,8 Johnstown Road,Cork,Co. Cork,,Ireland,2967 542,2967 3333
FLFW,Island Trading,Ferro López,Fabricio Walter,Marketing Manager,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK,(198) 555-8888,
FRAd,Königlich Essen,Fuentes Rayo,Angela del Rosario,Sales Associate,Maubelstr. 90,Brandenburg,,14776,Germany,0555-09876,
